date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-03-12,20040583,"Global Private Equity IV, LP","Long Term Holdings, Inc.","Long Term Holdings, Inc.","20040583: Global Private Equity IV, LP; Long Term Holdings, Inc."
2004-03-08,20040549,Tekelec,"Taqua, Inc.","Taqua, Inc.","20040549: Tekelec; Taqua, Inc."
2004-03-19,20040587,PP Acquisition Corporation,"Golder, Thoma Cressey Fund III, L.P.","Polypore, Inc.","20040587: PP Acquisition Corporation; Golder, Thoma Cressey Fund III, L.P."
2004-03-12,20040570,"Freedom Communications, Inc.","Freedom Communications, Inc.",Freedom Newspapers; Lima News,"20040570: Freedom Communications, Inc.; Freedom Communications, Inc."
2004-03-08,20040547,"Curative Health Services, Inc.","Thoma Cressey Fund VII, L.P.","Critical Care Systems, Inc.","20040547: Curative Health Services, Inc.; Thoma Cressey Fund VII, L.P."
2004-03-19,20040576,Charles W. Ergen,"Gemstar-TV Guide International, Inc.","SpaceCom Systems, Inc.; Superstar/Netlink Group LLC; Telluride Cablevision, Inc.; United Video TV, Inc.; UV Corp.; UVTV-A, Inc.; UVTV-X, Inc.","20040576: Charles W. Ergen; Gemstar-TV Guide International, Inc."
2004-03-12,20040567,The Amex Membership Corporation,"National Association of Securities Dealers, Inc.","American Stock Exchange, LLC","20040567: The Amex Membership Corporation; National Association of Securities Dealers, Inc."
2004-03-08,20040541,CIENA Corporation,"Catena Networks, Inc.","Catena Networks, Inc.","20040541: CIENA Corporation; Catena Networks, Inc."
2004-03-19,20040519,Cable Design Technologies Corporation,Belden Inc.,Belden Inc.,20040519: Cable Design Technologies Corporation; Belden Inc.
2004-03-12,20040540,"Ariba, Inc.","FreeMarkets, Inc.","FreeMarkets, Inc.","20040540: Ariba, Inc.; FreeMarkets, Inc."
2004-03-08,20040538,GENESCO Inc.,Hat World Corporation,Hat World Corporation,20040538: GENESCO Inc.; Hat World Corporation
2004-04-09,20040704,Convergys Corporation,"DigitalThink, Inc.","DigitalThink, Inc.","20040704: Convergys Corporation; DigitalThink, Inc."
2004-04-02,20040680,"J.W. Childs Equity Partners III, L.P.",MAAX Inc.,MAAX Inc.,"20040680: J.W. Childs Equity Partners III, L.P.; MAAX Inc."
2004-03-29,20040608,DTE Energy Company,DaimlerChrysler AG,DCC Utility Assets LLC,20040608: DTE Energy Company; DaimlerChrysler AG
2004-03-22,20040566,Yell Group PLC,Roberta Feist,"Feist Publications, Inc.",20040566: Yell Group PLC; Roberta Feist
2004-04-09,20040685,"Harbour Group Investments IV, L.P.",Dixon Midland L.L.C.,Tech Lighting LLC,"20040685: Harbour Group Investments IV, L.P.; Dixon Midland L.L.C."
2004-04-02,20040665,Aggregate Industries plc,Garth E. Frehner,"Frehner Construction Company, Inc.",20040665: Aggregate Industries plc; Garth E. Frehner
2004-03-29,20040597,"American International Group, Inc.","DLJ Merchant Banking Partners III, L.P.",United American Energy Holdings Corp.,"20040597: American International Group, Inc.; DLJ Merchant Banking Partners III, L.P."
2004-04-09,20040655,Sidney B. Deboer,Anthony L. Marletto,"Tony Chevrolet of Anchorage, Inc.; Tony Chevrolet of Wasilla, Inc.",20040655: Sidney B. Deboer; Anthony L. Marletto
